Position Title,Average Gross Pay
ARCHITECTURAL HISTORIAN,32909.76777777777
ARCHIVES TECHNICIAN,15302.32142857143
ARCHIVES TECHNICIAN II,15528.728
ARCHIVIST,46781.498
AREA BIOLOGIST,52197.924
AREA ENGINEER,78401.4192
ART DEPARTMENT SUPERVISOR,42404.41
ARTS & HEALTH SPEC,19589.65
ARTS COUNCIL PRGM SPEC II,45704.08833333334
ASSIST TRUST EXAMINER,44010.62
ASSIST TRUST EXAMINER II,15881.64
ASSISTANT ASSOCIATE,47717.8
ASSISTANT ATTORNEY GENERAL,67745.90449704141
ASSISTANT ATTORNEY GENERAL IV,102037.715
ASSISTANT BANK EXAMINER,38825.855
ASSISTANT BANK EXAMINER II,50650.89
ASSISTANT BLDG OPERATION SUPVR,51354.31
ASSISTANT CHIEF ENGINEER,162845.01
ASSISTANT CHIEF OPERATOR,78555.6416
ASSISTANT CHIEF TECHNICIAN,27048.0675
ASSISTANT COMMISSIONER,105593.48
ASSISTANT COUNSEL,14690.433333333334
ASSISTANT DEPUTY,48095.98
ASSISTANT DIRECTOR,56309.268000000004
ASSISTANT DIRECTOR OF AUDITS,70421.51
ASSISTANT DISTRICT ENGINEER,114686.815
ASSISTANT DIVISION DIRECTOR,75129.205
ASSISTANT ENGINEER,34236.22931034483
ASSISTANT FIRE CHIEF,75513.1425
ASSISTANT FOOD SERVICE MANAGER,33620.48
ASSISTANT HATCHERY MANAGER,39643.19222222222
ASSISTANT MAINTENANCE LIAISON,88153.99
ASSISTANT PROGRAM MANAGER,2781.64
ASSISTANT PROJECT MANAGER,15344.905
ASSISTANT PUBLIC DEFENDER,62315.20913953488
ASSISTANT REGIONAL COUNSEL,70756.97
ASSISTANT RIGHT OF WAY MANAGER,81416.09
ASSISTANT STATE DESIGN ENGIN,107529.81
ASSISTANT TO THE RESIDENT ENGI,78390.97866666666
ASSISTANT TRAFFIC LIAISON ENG,87423.77
ASSISTANT TREASURER,2927.86
ASSOC APPLICATIONS DEVELOPER,40653.23302083334
ASSOC HEARINGS/APPEALS REFEREE,50498.9375
ASSOC INTELLIGENCE ANALYST,11574.57125
ASSOC NETWORK OPERATIONS TECH,33799.42230769231
ASSOC RESEARCH/DATA ANALYST,39901.031284403674
ASSOC. COUNSEL & UNITS SUP.,44321.38
ASSOCIATE AUDITOR,34448.106
ASSOCIATE CIRCUIT JUDGE,146560.20452054794
ASSOCIATE COUNSEL,65856.81227272727
ASSOCIATE CUSTOMER SERVICE REP,18499.646944444445
ASSOCIATE ENGINEER,54998.182
ASSOCIATE EPIDEMIOLOGIST,42534.22655172414
ASSOCIATE PSYCHOLOGIST,66089.95000000001
ASSOCIATE SOCIAL SERVICES SPEC,20170.25915904936
"ASST ATTORNEY GENERAL, DIV DIR",125076.54444444446
ASST BRIDGE MAINTENANCE SUPERV,51668.409999999996
ASST C U EXAMINER - PROB I-II,59865.29
ASST CHIEF COUNSEL - ADMIN,148797.07
ASST CHIEF COUNSEL-HUMAN RSRCS,148797.07
ASST CHIEF COUNSEL-PROJ DEVEL,55481.165
ASST CHIEF COUNSEL-RISK MNGMNT,80316.275
ASST COMMISSIONER,111788.68999999999
ASST COMMUNICATIONS DIRECTOR,123341.52
ASST DEPUTY DIR-RESOURCE MGMT,135440.5
ASST DIR OF UNCLAIMED PROPERTY,27988.165
ASST DIRECTOR,53823.61578947368
ASST DIRECTOR OF BANKING,103827.96
ASST DIRECTOR/CHF BILL DRAFTER,109006.61
ASST DIST MAINTENANCE ENGINEER,46419.286
ASST DISTRICT BRIDGE ENGINEER,64327.81999999999
ASST DISTRICT SUPV,59439.35155555555
ASST DORMITORY DIRECTOR,34301.3925
ASST FIELD OPERATIONS MGR,85603.0
ASST FINANCIAL SERVCS DIRECTOR,123837.96
ASST GARAGE SUPERINTENDENT,41907.996666666666
ASST GIS ANALYST,33751.34
ASST GIS SPECIALIST,33246.72
ASST HUMAN RESOURCE DIRECTOR,122637.96
ASST IS DIRECTOR,122637.96
ASST MAINTENANCE SUPERVISOR,55923.21573333334
ASST MOTOR CARRIER SERV DIRECT,122637.96
ASST NATURE CENTER MGR,58899.916666666664
ASST OUTDOOR EDUC CTR MANAGER,50076.568
ASST RIGHT OF WAY MNGR-CERTIFI,81416.11
ASST SAFETY AND EMERG MGMT DIR,122637.96
ASST SCHOOL SERVICES DIRECTOR,42190.345
ASST SECRETARY OF SENATE,93309.14
ASST SERGEANT AT ARMS,13876.01
ASST STATE BRIDGE ENGINEER,122637.96
ASST STATE CO AND MA ENGINEER,122637.96
ASST STATE DESIGN ENGR - LPA,122702.24
ASST SUPERINTENDENT,44986.90166666667
ASST TO CAO - HEALTH&WELLNESS,122637.96
ASST TO STATE DESIGN ENGR - RW,122637.96
ASST TO STATE HWY SFTY TRF ENG,45989.085
ASST TO THE DIR-OPER EXECELLEN,144381.0
ASST TRANSP PLANNING DIRECTOR,122771.29
ASST. SERGEANT AT ARMS,14735.18
AST DIRECTOR CIS,85622.92
AST DIRECTOR COMMUNICATIONS,71951.89
AST DIRECTOR-APPROPRIATIONS RE,100367.99
AST DIRECTOR-GENERAL RESEARCH,106410.84
AST DISTRICT CONSTR & MATER EN,64535.083333333336
AST NATURAL HISTORY BIOLOGIST,19337.284444444445
ATTORNEY GENERAL,124126.29
AUDIO VISUAL SUPPORT TECH,43875.06
AUDIOLOGIST,100847.0
AUDIT MANAGER,78510.44705882354
AUDITOR,46021.4256
AUDITOR MANAGER,76569.30799999999
AUDITOR SUPERVISOR,59385.52636363637
AUDITS & INVESTIGATIONS DIR,128769.82
AUTO/MARINE TECH,15035.58
AUTOMO/MARINE SRV COORD,23201.79
AUTOMO/MARINE SRV SUP,19448.333333333332
AUTOMOTIVE MECHANIC,46085.374444444446
AUTOMOTIVE SERVICE ASST. II,14182.65
AUTOMOTIVE SERVICE SUPERVISOR,47670.403333333335
AUTOMOTIVE TECH SUPERVISOR,38139.118
AUTOMOTIVE TECHNICIAN,42343.72666666666
AUTOMOTIVE TECHNICIAN I,12805.89
AUTOMOTIVE TECHNICIAN II,12324.59
AUTOMOTIVE TECHNICIAN III,34592.880625
AVIATION OPERATIONS MANAGER,81416.09
AVIATION PROGRAMS MANAGER,87441.39
BANK EXAMINER,39546.87
BANK EXAMINER II,51593.613333333335
BARBER,17625.03
BARBER/COSMETOLOGIST,34412.96333333333
BEAUTICIAN,9948.153333333334
BEHAVIOR ANALYST,75380.258
BEHAVIORAL HEALTH PMA II,17825.09
BEHAVIORAL HEALTH SPV II,30379.13
BEHAVIORAL TECHNICIAN,29654.96577669903
BENEFIT PROGRAM ASSOCIATE,26299.81124528302
BENEFIT PROGRAM SPECIALIST,34193.079704225354
BENEFIT PROGRAM SR SPEC,47922.097682926826
BENEFIT PROGRAM SR SPECIALIST,34855.43668965517
BENEFIT PROGRAM SUPERVISOR,43755.111586826344
BENEFIT PROGRAM TECHNICIAN,28009.88555238095
BID & CONTRACT SERVICE ENGR,47797.605
BILLROOM SUPERVISOR,55086.59
BIOMETRICIAN,55918.9
BLDG/GNDS MAINT I TEMPORARY,11333.870769230769
BOARD CHAIRMAN,58567.575
BOARD MEMBER,4399.946375
BR INSPECTION CREW SUPERVISOR,75473.34999999999
BRANCH OFFICE MANAGER,55806.142857142855
BRIDGE INSPECTION CREW LEADER,53626.30333333334
BRIDGE INSPECTION CREW MEMBER,31500.735
BRIDGE INSPECTION ENGINEER,102128.23
BRIDGE INSPECTOR,47653.32
BRIDGE INTERN,7138.316428571429
BRIDGE INVENTORY ANALYST,34357.285
BRIDGE LOC & LAYOUT DESIGNER,77878.945
BRIDGE MAINTENANCE CREW LEADER,45836.4635
BRIDGE MAINTENANCE SUPERINTEND,76888.695
BRIDGE MAINTENANCE SUPERVISOR,71614.89333333334
BRIDGE MAINTENANCE WORKER,32765.21517857143
BRIDGE MANAGEMENT ENGINEER,114383.57
BRIDGE RATING & INVENT ENGR,102128.23
BUDG PRINCIPLE MGMT ANALYST I,63373.92
BUDGET & TRANSPARENCY COOR,12314.8
BUDGET ANALYST,60953.5
BUDGET ANALYST I,66510.86
BUDGET ANALYST II,81763.87
BUDGET AND POLICY ANALYST,57689.055555555555
BUDGET AND POLICY MANAGER,118070.28
BUDGET AND POLICY SUPERVISOR,101540.52249999999
BUDGET MANAGEMENT ANALYST I,32703.94
BUDGET MANAGEMENT ANALYST II,17080.46
BUDGET MANAGER,95607.0
BUDGET PROGRAM MANAGER,98539.43
BUDGET RESEARCH ANALYST II,73455.23333333334
BUDGET RESEARCH ANALYST III,92647.25
BUDGET STAFF SECRETARY,44117.86
BUILDING & GROUNDS MAINT I,11863.355
BUILDING & GROUNDS MAINT II,19907.3776
BUILDING & GROUNDS MAINT SUPV,25931.658333333336
BUILDING ADMINISTRATOR,41905.98470588235
BUILDING MANAGER,39302.165
BUILDING OPERATIONS SPECIALIST,45418.76666666666
BUS SYST SUPP SPECIALIST,60220.62
BUSINESS ANALYST,44792.67580645161
BUSINESS OPS MANAGER/ASST EDIT,13361.79
BUSINESS PROJECT MANAGER,45432.458333333336
BUSINESS SYST SUPPORT MANAGER,81416.09
BUSINESS SYSTEMS ANALYST,33362.776666666665
CAD SYSTEM MANAGER,42355.19
CADD SERVICES ENGINEER,114498.57
CADD SUPPORT ANALYST,81416.09
CAPITAL PLANNING SOFTWARE COOR,60281.0
CAPITOL POLICE CORPORAL,47101.97
CAPITOL POLICE DISPATCHER,45798.549999999996
CAPITOL POLICE LIEUTENANT,78571.41
CAPITOL POLICE OFFICER,42091.55125
CAPITOL POLICE SERGEANT,55848.615
CAPTAIN,109831.60258064517
CAREER PATHWAYS MANAGER,35835.5
CARPENTER,31956.9315
CART PROGRAM COORDINATOR,41782.0
CASH MANAGER II,51421.46
CASH MANAGER III,30828.04333333333
CASH SPECIALIST II,16070.25
CASH SPECIALIST III,27985.026
CASH SPECIALIST IV,46307.0
CDL EXAMINATION AUDITOR,46935.74333333333
CDL EXAMINER,37291.995
CENTRAL OFFICE GENERAL SERV MG,81416.09
CENTRAL SERVICES SUPERVISOR,52555.0
CENTRAL SERVICES TECHNICIAN,39441.5
CERTIFIED APPRAISER,51714.767
CERTIFIED EXAMINER,81780.975
CERVID PROGRAM SUPERVISOR,75531.5
CH OF STAFF FOR THE FIRST LADY,68382.62
CHAPLAIN,32271.994000000002
CHARTER COMM DEPUTY DIRECTOR,98180.5
CHARTER SCHOOLS FIELD DIRECTOR,72928.11
CHEMICAL LABORATORY DIRECTOR,102128.23
CHEMIST,36587.909999999996
CHEMIST INTERN,7309.885
CHF OF INVESTIGATIONS PC&F DIV,83228.11
"CHF OF STAFF, MINORITY FLR LDR",103525.72
CHIEF ADMINISTRATIVE LAW JUDGE,110536.656
CHIEF ADMINISTRATIVE OFFICER,162845.01
CHIEF BUDGET OFFICER,61130.166666666664
CHIEF CLERK,154015.73
CHIEF COMMUNICATIONS OFFICER,105257.0
CHIEF COUNSEL,98884.10875
CHIEF COURT OPERATIONS MANAGER,57555.055714285714
CHIEF DATA OFFICER,41823.5
CHIEF DEPUTY CLERK,57972.435
CHIEF ECONOMIST,95720.99666666666
CHIEF EXAMINER,136515.32666666666
CHIEF FINANCIAL EXAMINER,134170.31
CHIEF FINANCIAL OFFICER,162845.01
CHIEF GOVERNMENTAL RELATIONS,30165.01
CHIEF INFORMATION OFFICER,113676.5
CHIEF INVESTIGATOR,72556.85
CHIEF LEGAL COUNSEL,109647.4
CHIEF MOTOR VEHICLE INSP,39612.875
CHIEF OF STAFF,116255.28666666667
"CHIEF OF STAFF, SPEAKER'S OFC",139978.67
CHIEF OF STAFF- MAJORITY,111121.69
CHIEF OF STAFF- SPK PRO TEM,92619.55
CHIEF OPERATIONS OFFICER,105257.0
CHIEF OPERATOR,82132.04
CHIEF PHARMACIST,128006.07
CHIEF PHYSICIAN,196402.63333333333
CHIEF SAFETY & OPERATIONS OFCR,162845.01
CHIEF TECHNICIAN,80078.07782608696
CI TCHNLG I,8750.0
CIRCUIT CLERK,72349.14405405405
CIRCUIT JUDGE,153338.76904761908
CIRCULATION PROCESSING ASST,26479.0
CIT COORDINATOR,68820.52
CIT PROGRAM SPECIALIST,33954.25
CIVIL RIGHTS SPECIALIST,42975.07000000001
CLAIMS ADMINISTRATION MGR,81416.09
CLERK,11177.693185185186
CLERK IV,22944.27842105263
CLERK MESSENGER,22422.845
CLERK OF COURT OF APPEALS,79811.2875
CLERK OF THE SUPREME COURT,179966.34
CLERK STENO I,2769.66875
CLERK TYPIST I,9303.73
CLERK-TYPIST II,16107.00375
CLERK-TYPIST III,22088.7615
CLIENT SUPPORT MANAGER,80792.00285714286
CLIENT SUPPORT PROFESSIONAL,65644.66545454545
CLIENT SUPPORT TECH,44762.24918032787
CLIENT/PATIENT WORKER,1537077.17
CLINICAL AUDIOLOGY AIDE,40015.0
CLINICAL CASEWORKER,28891.162682926828
CLINICAL SOCIAL WORK MANAGER,75080.03333333334
CLINICAL SOCIAL WORK SPV/SPEC,63890.080555555556
COLONEL,171254.0
COMM OPERATOR TRAINEE,25128.571636363635
COMM TECHNICIAN TRAINEE,25774.765
COMMERCIAL VEHICLE OFFICER,46768.73438356164
COMMERCIAL WILDLIFE UNIT SUPV,83027.5
COMMISSION CHAIRMAN,81110.00200000001
COMMISSION MEMBER,49160.95483870967
COMMISSION MEMBERS,1377.3714285714286
COMMISSIONED INVESTIGATOR,37485.952352941174
COMMISSIONED INVESTIGATOR SPV,60539.117333333335
COMMISSIONER,124731.84999999999
COMMISSIONER OF SECURITIES,121190.5
COMMISSIONS SPECIALIST II,38906.5
COMMISSIONS SPECIALIST III,41974.5
COMMISSIONS SPECIALIST IV,46307.0
COMMISSIONS SUPERVISOR IV,53090.0
COMMITTE RECORDS COORDINATOR,86973.19
COMMITTEE RECORDS SPECIALIST,37357.485
COMMITTEE RECORDS SPECIALISTPT,23589.725
COMMRCIAL MTR VEHICLE PROG MGR,70491.6
COMMS & PUBLIC RELATIONS SPEC,58144.07
COMMUNICATION ASSISTANT,21405.934999999998
COMMUNICATION LIAISON,49168.325
COMMUNICATIONS ASSISTANT,30511.166666666668
COMMUNICATIONS BRANCH CHIEF,128392.5
COMMUNICATIONS COORDINATOR,19202.95
COMMUNICATIONS COUNSEL,103071.87
COMMUNICATIONS DIRECTOR,89826.55666666669
COMMUNICATIONS INTERN,8372.89
COMMUNICATIONS MANAGER,80453.22545454545
COMMUNICATIONS OPERATOR I,32712.933999999997
COMMUNICATIONS OPERATOR II,34786.31125
COMMUNICATIONS OPERATOR III,63723.188730158734
COMMUNICATIONS SPECIALIST,48541.808750000004
COMMUNICATIONS TECHNICIAN I,46868.15
COMMUNICATIONS TECHNICIAN II,18359.24666666667
COMMUNICATIONS TECHNICIAN III,38876.08
COMMUNITY & PRV LND BRANCH CHF,127125.0
COMMUNITY & PRV LND CONS SUPV,64563.734
COMMUNITY & PVT LND FIELD CHF,76643.9
COMMUNITY CONSERV PLANNER,55012.4475
COMMUNITY CONSERVATION LIAISON,45470.5
COMMUNITY EDUCATION ASSISTANT,13308.997014925373
COMMUNITY FORESTER,63593.2
COMMUNITY LIAISON,66628.39
COMMUNITY RELATION FACILITATOR,43664.99333333333
COMP INFO TECH IV,8125.5
COMP INFO TECH SP I,42626.32
COMP INFO TECH SP II,73886.85250000001
COMP INFO TECH SPEC II,91782.71
COMP INFO TECHNOLOGIST III,45774.625
COMP INFO TECHNOLOGY SPEC I,80543.33499999999
COMP SUPPORT TECH SPV II,71432.37
COMPENSATION COORDINATOR,74496.0
COMPENSATION MANAGER,35053.61
COMPENSATION/BENEFITS MANAGER,119829.5
COMPLIANCE EXAMINER,44138.0
COMPLIANCE EXAMINER II,47496.25
COMPLIANCE INSPECTION MANAGER,76949.2
COMPLIANCE INSPECTION SPV,57260.94545454546
COMPLIANCE INSPECTION SUPERVIS,60915.0
COMPLIANCE INSPECTOR,47332.04318181818
COMPUTER AIDED DRFT SUPPRT ENG,91185.89
COMPUTER INFO TECH,42776.44714285714
COMPUTER INFO TECH I,40613.612
COMPUTER INFO TECH II,55425.555
COMPUTER INFO TECH III,62215.77333333334
COMPUTER INFO TECH MANAGER III,83710.0
COMPUTER INFO TECH SPEC,50103.5475
COMPUTER INFO TECH SPEC I,46250.717894736845
COMPUTER INFO TECH SPEC II,83228.0987804878
COMPUTER INFO TECH SPEC III,84180.96599999999
COMPUTER INFO TECH SPV II,91751.0
COMPUTER INFO TECH SUPV II,77661.3
COMPUTER INFO TECH TRAINEE,22265.622
COMPUTER INFO TECHNOLOGIST I,23513.83357142857
COMPUTER INFO TECHNOLOGIST II,28658.353125
COMPUTER INFO TECHNOLOGIST III,44103.51416666667
COMPUTER INFO. SPECIALIST,59325.36444444445
COMPUTER INFORMATION SPEC II,3956.25
COMPUTER INFORMATION TECH -SUP,100521.26
"COMPUTER LIAISON, DESIGN",74927.22
COMPUTER PROGRAMMER-STATISTIC,99323.99
COMPUTER SUPPORT ENGINEER,28646.695
COMPUTER SUPPORT TECH,28553.2425
CONS BUSINESS SRV BRANCH CHIEF,129376.5
CONSERV HEALTH SECTION CHIEF,80009.5
CONSERVATION AGENT I,47038.485636363635
CONSERVATION AGENT II,48504.875
CONSERVATION AGENT III,66517.01202380953
CONSERVATION AGENT TRAINEE II,11643.84294117647
CONSERVATION EDUCATOR,54499.10068965517
CONSERVATOR,15686.07
CONSERVATOR TECHNICIAN,20406.75
CONSERVATOR TECHNICIAN II,5034.0
CONST & MATERIALS LIAISON ENGR,71270.19
CONSTITUENT SERVICES COORD,38160.0
CONSTITUENT SERVICES LIAISON,30478.825
CONSTR MANGMNT SYSTEMS ADMINIS,54479.9
CONSTRUCTION ADMINISTRATION MG,36956.95
CONSTRUCTION CONTRACT ADMINIST,56018.0
CONSTRUCTION INSPECTOR,44414.04461538461
CONSTRUCTION INTERN,8693.757586206897
CONSTRUCTION PROJECT MANAGER,76534.30333333333
CONSTRUCTION PROJECT SPEC,42087.457272727275
CONSTRUCTION PROJECT SPV,56670.244999999995
CONSTRUCTION PROJECT TECH,46011.65625
CONSTRUCTION TECHNICIAN,25869.502702702703
CONSULTING PHYSICIAN,41874.10083333333
CONSUMER ADVOCATE,46012.253749999996
CONSUMER PROTECTIONS COORD,42871.40818181818
CONSUMER PROTECTIONS SPEC,37503.385625
CONSUMER PROTECTIONS TECH,40706.39644444444
CONSUMER SERVICE OPERATOR,44509.63999999999
CONTINUOUS IMPROVEMENT COORD,26974.713333333333
CONTRACT MONITORING SPECIALIST,59229.08
CONTRACT MONITORNG COORDINATOR,81416.08
CONTRACT SPECIALIST,53180.33555555556
CONTRACT SUPERINTENDENT,79997.5
CONTRACT SUPERVISOR,43146.01111111111
CONTRACT TECHNICIAN,49722.12071428571
CONTRACTS MGMT ANALYST I,9709.4
CONTRACTS MGMT ANALYST II,24196.14
CONTRACTS PRIN MGMT ANALYST I,31090.48
COOK,3427.79
COOK I,13935.900000000001
COOK II,21779.207692307693
COOK III,11119.25
COOK SUPERVISOR,14525.65
COORDINATOR,62430.98909090909
CORE DRILL ASSISTANT,43653.97
CORE DRILL OPERATOR,18201.95
CORE DRILL SUPERINTENDENT,41908.775
CORE DRILL SUPERVISOR,33126.92
CORPORAL,83797.1825443787
CORPORATIONS SPECIALIST I,26487.92
CORPORATIONS SPECIALIST II,30270.54875
CORPORATIONS SPECIALIST III,30658.245999999996
CORPORATIONS SPECIALIST IV,43036.166666666664
CORPORATIONS SUPERVISOR IV,33140.84333333333
CORR ADMINISTRATOR (LEVEL 1),49416.432857142856
CORR ADMINISTRATOR (LEVEL 2),63475.97537037037
CORR ADMINISTRATOR (LEVEL 3),66892.24533333333
CORR IND SALES & MKTNG MANAGER,33613.2
CORR IND SALES & MRKTNG ASSOC,20451.49846153846
CORR INDUSTRIES MARKETING SPEC,32578.58
CORRECTIONAL CAPTAIN,60570.87221311476
CORRECTIONAL IND SALES SPV,46535.91
CORRECTIONAL INDUSTRIES MGR,67007.525
CORRECTIONAL INDUSTRIES SPV,33639.877297297295
CORRECTIONAL LIEUTENANT,58454.598723404255
CORRECTIONAL OFFICER,30904.5058613482
CORRECTIONAL PROGRAM LEAD,39690.888
CORRECTIONAL PROGRAM SPEC,39177.943261261265
CORRECTIONAL PROGRAM SPV,45386.83567073171
CORRECTIONAL PROGRAM WORKER,31536.51859259259
CORRECTIONAL SERGEANT,47709.569029649596
CORRECTIONAL WORKER,7914.167025171625
CORRECTIONS OFCR I,44.634
COUNSEL,128785.16
COUNSELOR-IN-TRAINING,36553.00133333333
COURT ADMINISTRATOR,65895.66666666667
COURT CLERK,29234.844606946983
COURT MANAGER,59150.27205882353
COURT REPORTER,70397.16041176471
COURT REPORTER CERT CLERK,60913.43
COURT REPORTER SUPERVISOR,68542.61
COURT SERVICES MGMT ANALYST I,26619.940500000004
COURT SERVICES MGMT ANALYST II,38092.18318181818
COURT SERVICES PROGRAM MANAGER,76651.84166666666
COURT SERVICES SUPERVISOR I,32793.736666666664
COURT SERVICES SUPERVISOR II,65005.827142857146
COURTSEY RESOLUTIONCOORDINATOR,70599.21
CREDIT UNION EXAMINER I - II,75987.72
CRIM INTEL ANALYST I,26290.147142857142
CRIM INTEL ANALYST II,33108.561428571425
CRIME LAB QUALITY ASSUR COORD,69595.0
CRIMINALIST I,21974.81842105263
CRIMINALIST II,27173.49
CRIMINALIST III,53305.16109090909
CRIMINALIST SUPERVISOR,64356.935
CRRD COUNSEL,173378.14
CSC EXECUTIVE DIRECTOR,182699.0
CT SVCS PRIN MGMT ANALYST I,43688.649999999994
CT SVCS PRIN MGMT ANALYST II,58323.02
CULTURAL RESOURCE SPECIALIST,57688.165
CULTURAL RESOURCE SUPERVISOR,62085.0
CURRICULUM COORDINATOR,66446.75
CUST SUPPORT TECH SPV II,66280.58
CUSTODIAL ASSISTANT,25848.183440860215
CUSTODIAL MANAGER,39096.774
CUSTODIAL SPECIALIST,33692.45
CUSTODIAL SUPERVISOR,32131.962799999998
CUSTODIAL WORK SUPERVISOR,29528.533333333336
CUSTODIAL WORKER,24527.124494382024
CUSTODIAL WORKER II,25313.93069767442
CUSTODIAL WORKER/TEACHER AIDE,26379.95
CUSTOMER EXPERIENCE MANAGER,63342.0
CUSTOMER SERVICE MANAGER,40868.50078125
CUSTOMER SERVICE REP,25710.356007827788
CUSTOMER SERVICE SUPERVISOR,33672.185
CUSTOMER SUPPORT TECH,27175.57909090909
CVO CHIEF,68754.34714285714
CVO SUPERVISOR,70232.42388888888
CYBERSECURITY ANALYST,69160.528
