Polarity,Text
Negative,صار في مشكله مؤخرا للاندوريد الاتصال الدولي من اتصل بهم يسمعون الصوت وعندي ماتفتح المكالمة ولا اسمع ممكن ترشدونا ماذا نفعل أم هو خطأ في آخر إصدار. .شكرا
Negative,البارحة مو مستاهل لنو اول ما افوت بكتبولي بحط الرقم بكتبو خطا في الأتصال حاول مجددآ انا بكون شابك نت او معي بس مو راضي يفوت الرجاء اصلاح العملية او المساعدة وشكرآ
Negative,حذف الفيديو المصور لما ارسل فيديو قمت بتصوريه بكاميرا هاتفي الخاص بيحمل ويصل ل 75% تقريبا وبعد كده يقول ليس لديك مساحه كافيه ويحذف الفيديو من الاستديو من الاساس وملقيش الفيديو تاني وضيع عليا لحظات كتير كنت مصورها ياريت تلاقوا حد وحد يرد عليا
Negative,المشكلة أنه يتعذر البحث عن صورة في الانترنت. ...أرجو إصلاح المشكلة بسرعة. .وشكراً
Negative,لو سمحتوا الواتساب عندي له كم مره يعطيني يوجد خطأ في تحميل الدردشات ونص الدردشات يروح والان اعطاني يوجد خطأ وكل محتوي الدردشات محذوووف حتى الرسائل المميزه بنجمه محذوفه وكل الصور حتى الجروبات كأنه اضافني لها جديد وكل الدردشات السابقه محذوفه ، ليييشششش هيك افهم كان ممتاز وعين الله عليه ، يعني جد اشي بسطح في اشياء مهمه وذكريات الواحد محتفظ عليها عشان خطأ متل هيك كل اشي ينحذف !! الرجاااااااااااااااااااااء العمل على هذا الامر
Positive,برنامج كتير حلو وافر كتير شغلت وبنفس الوقت البعيد صار قريب يعني ماعادفي اي صعوبه بلا حديث مع حدا
Negative,أواجه مشكلة في الآونة الأخيرة للواتس آب يتم تعطيله عندي لعدة ساعات لا يستقبل الرسائل ولا يرسل من الظهيرة وحتى ساعات المساء ارجو معرفة السبب وحل هذه المشكلة
Negative,الواتس حلو بس في مشكله بسيطه صور العرض في المجموعات ماتطلع للشخص الاالى يرسل صوت نبغاها في الدردشات وشكرا
Negative,ليش الاتصال مش شغال انتو ضفتو خاصيه الاتصال ومفيش اتصال اصلا ليه النصب ده الاتصال مش شغال ليه تضحكو على الناس فى برامج شغاله اتصال احسن من الواتساب ارجو حل الاتصال بالعلم انى بيرن وافتح مفيش صوت
Negative,اصبح سيئ جداااا يحدث عطل فجاه بعد ارسال الفيديو ويخبر بانه تم ايقاف التطبيق حذفته واحاول ان اعيد ادراجه بدون فائده يعطونا انه سيتم ارسال رمز ولا يرسلو شي ارحمونا
Positive,جميل وما احد يستغني عنه .. يعطيكن العافية يريت تزيدو تحديثات واشيا حلوة للوتساب وجديدة ومنها انك تعرف االشخص الي بتكلمه مع مين بيتكلم
Positive,برنامج رائع جدا في كل شيء جميل في حياتنا اليومية التي كانت قد لا تكون جميله من دونه بشكل كامل من خلال الرابط بين الناس في كل مكان
Positive,لا غنا عن الواتس اب الكل لابد ان يعرف هذا برنامج روعه فوء الخيال وكلمتى ثقة فى الله
Negative,سئ جدا جدا جدا الصور لايتحمل سئ جدا ياليت تحدثونه وقت رسايل المحادثة ملخبط وسييييئ جدا والميزات مسح محتوى الدردشة 30 يوم رجعووه
Negative,لا يتصل هناك مشكله ف الاتصال جربت اكتر من مرة مع نت باقة وواى فاى سريع
Positive,ممتاز افضل تطبيق مراسلة عالميا لكن يلزمه بعض التحديثات واضافة بعض الميزات مثل اضافة صورة للغلاف الاتصال الفيديو والتسجيل عبر الايميل ورقم الهاتف معا
Positive,واتس اب التطبيق ممتاز وشكراً لكم، بس ياليت اذا تقدرون انكم تضيفون صور اكثر واجمل للخلفية حقت المحادثة وشكراً
Positive,برنامج جميل بس لو تعملو فيهو خاصية الاتصال عبر الفيديو يكون اجمل واجمد والنجمة الناقصة عبارة عن اتصال الفيديو
Negative,برنامج صار زي الزفت من اول رمضار وهو من الساعه وحده الضهر للاربعه العصر بنفصل البرنامج ما بوصلني ولا مسج ولا بطلع من عندي ولا مسج ازا ضل هاد البرنامج هيك رح استغني عنو
Positive,جميل جدا أتمنى في التحديث القادم إن يكون خصوصية لصورة البروفايل ولا أحد يستطيع أن يحتفظ بها شكراً
Positive,ممتاز برنامج غني عن التعريف وذو شعبيه كبيره وانصح بالتحديث داءما لان الهدف تطوير البرنامج للافضل وخاصة مشكلة اختراقه من الهكر
Negative,الي مش عاجبو ينتحر البرنامج اصبح خربان مثل ادخول ع القروبات وانا معي جوالي اس3 ادخول ع الواتساب يقولي الواتساب لاستيجب ممكن حل او تردو ع بريدي الاكتنورني
Negative,زبالة وكل مره بعلق مش عارف لية اول كا تمام الحين كل دقيقة يقول لي تم ايقاف ومش عارف المشكلة
Negative, هنا في السويد الواتس أب ليس بهذه الجودة الموجودة في باقي البلدان أرجو حل هذه المشكلة ولدي اقتراح لو تجعلون في الإصدار القادم ميزة التشغيل التسلسلي للتسجيلات والمقاطع الصوتية
Negative,عيب عليكم اتضحكون علينا لوعلى ارواحكم تطبيق زباله زباله زباله زباله كول شويه ويكولي التطبيق ﻻيستجيب انتضر اوتقرير او موافق شويه استحو خجلو على ارواحكم الله ﻻينطيكم مو جزعني اريد احجي مااكدر مليت يله لزعلون ماشي ﻻ ازحلكم على الكاشي حبايب كلبي
Positive,رائع جدا برنامج رائع جدا بس انا نفسي يحصل فيها تعديل في البحث عن الأصدقاء والأصدقاء من الأصدقاء اللي عندك وشكرا لكم
Negative,جميل ومالي غنى عنو اتمنى تحطون فيسات عند تسجيل الأسماء مثل أن اسجل اسم واضع جنبه 💕 أو 🎵
Positive,باقي عليه بس مكالمة فيديو بصير اكثر من ممتاز جدا جدا من فترا شفت خبر على جوجل وغير انو راح يصير في مكالمة فيديو لواتس اب
Negative,يعلق احذفو خاصيه الرسائل الجماعية. . الحين اللي يسوي رسائل جماعيه ...مايعرف من هم اللي يرسل لهم ...بس كذا يرسل ...انا حذفت الواتساب لهذا السبب ...ازعاااااج💣
Positive,وات ساب رائع .. لكن زين تضيفو ميزه التسجيل بالفيديو مثل سناب شات ويكون ما يتخزن ف الاستيديو ويكون تحميل تلقائي وايضا يمنع ارساله لا يشخص كان من خلال سستم معين وايضا يكون الفيديو المسجل فقط بالضغط عليه ولا يفتح الشاشه كامله عكس باقي الفيديوها...اتمنى تطبيق هذا الفكره.......والف شكرا
Positive,رايع البرامج ممتاز جداااا اشكر القائمين عليه ولكن مطلب منكم تطوير البرنامج وتعملو له تسجيل خروج ودخول .....
Positive,المشكله انو المكالمات مره مو حلو فيها بس الشات والله رااائع
Negative,أصبح ثقيل ويعلق يعلق عند حفظ نسخة كل يوم ويقفل البرنامج خااألص والذاكرة تمتلك بسرعه لماذا لا نستطيع نقل البرنامج وملفاته للذاكرة الخارجية الأوسع مصممين فااااشلين
Positive,خفيف وسهل بصراحة تمام شغال معايا خفيف اووي ومش بيعلق ومفيهوش اي مشكلة مع الاندرويد بتاعي
Positive,بعد التحديث ممتاز ممتاز جدا اصبح هناك ميزة جديدة وهي تحديد عدة رسائل مرة واحدة لمسحا او اعادة ارسالها وايضا ميزة الغاء التحميل التلقائي بعدة خيارات
Positive,شكرا وتس اب اتقدم بالشكر الجزيل لشركة وتس اب لجهودها الغير عادية التي تبذلها في سبيل توفير كل ما يريدة مستخدم وتس اب . وافضل ميزة جربتها حتى اليوم هي ميزة التشفير صراحة .وشكري مقدم لجميع طاقم وعمال شركة وتس اب بلا استثناء واخص بشكري للمدير التنفيذي لشركة وتس اب الاستاذ مارك .. واتمنى لكم مزيدا من التقدم والنجاح
Positive,البرنامج كلش حلووو رووووعه
Negative, اذا قفلت شاشة الموبايل يعلق الاتصال الا اعمل انهاء المكالمة واتصل مرة ثانية ياريت تلاقون حل لهذه المشكلة اترك نجمة وحدة بعد التعديل احط 5 نجوم
Negative,الرسائل توصل متأخرة أو لا توصل أحيانا ، تسجيل الصوت أو سماع أصوات المراسلين يعلق البرنامج أو يكون الشاشة السوداء تم التبليغ منذ ثمانية أشهر
Negative,بقا زي الزفت البرنامج في التحديث دا بقا زفت خااالص بقاله عشر ساعات بيعمل نسخ احتياطي مش راضي يفتح
Negative,البرنامج بقا زباله لعارف ابعت فديو ولا اغنيه كل متوصل للنهاية تعيد من الاول ومتنبعتش حاجه تنرفز
Positive,من اجمل البرامج جميل جدا الواتس اب 
Negative,البرنامج بقا زباله لعارف ابعت فديو ولا اغنيه كل متوصل للنهاية تعيد من الاول ومتنبعتش حاجه تنرفز
Positive,روووعه حلوووو
Positive,امير يعني لازم تطالعولو تحديث مكالمات الفيديو اهم من كل شي ......
Positive,ولله برنامج جميل جدا جدا عاشت ايده سهام بتطوير هذا البرنامج الجميل شكرا حبابي
Positive,جميل وخفيف وبينفعني ف شغلي كتير اني ارسل من علية مقاطع فديو وتسجيلات وصور
Positive, ممتاز وسريع في ارسال وتلقي الصور والرسائل والفديوهات . لكن مكالمات مش مستقر .
Negative,لم يعد بالامكان عمل مشاركه لاي فيديو او اغنية من اي مكان وارسالها على الواتس ..ولم تكن هذه المشكلة قبلا
Negative,اميره على عرش ابي شنو هاي البرنامج حلو بس مو ساعه يلا ينزل ربع ساعه يلا وصل 2كبر لهشكول
Positive,ممتاز رهيب جدآ
Positive,الواتس روعه اللواتي روعه يجمع الناس بعضهم مع بعض لكي تعرف أخبار واشكر الذي نزل الواتس
Positive,تطبيق ممتاز لان اشهر تطبيق للتواصل الاجتماعي لكن نحتاج تحديث للمكالمات الفيديو والصور المتحركه GIF
Negative,المشكلة انه صار مايرنن الجهاز الا اذا فتحت الواتس اذا كنت مو فاتحنه ماتصلني الرسايل والمكالمات ليش
Negative, عندى مشكلة بالواتس كان ممتاز ولو حصل وفرمت التاب وارجع انزل الواتس كان تصلني رسالة بالكود لكن هذه المرة اكتر من اسبوع ولم يصل الكود وتاتى رسالة يتعذر ارسال الكود لانك حاول التحقق من الرقم حديثا وعليه اكتر من اسبوع وانا عندى مينفعش اتصال لانه رقم شريحة نت وانا نزلت برنامج لاين وتليجرام واتبعت الكود ايه مشكلة الواتس حد يفهمني
